"DateTime";"7-day moving average";"Number of flights"
"2020-01-31";176746;184949
"2020-02-01";175570;154067
"2020-02-02";174770;158666
"2020-02-03";175156;179441
"2020-02-04";174070;170708
"2020-02-05";172705;174865
"2020-02-06";170661;171934
"2020-02-07";170184;181611
"2020-02-08";172443;169881
"2020-02-09";171584;152651
"2020-02-10";168731;159472
"2020-02-11";167461;161819
"2020-02-12";167653;176204
"2020-02-13";168317;176585
"2020-02-14";169889;192613
"2020-02-15";169805;169293
"2020-02-16";170475;157345
"2020-02-17";172520;173785
"2020-02-18";174004;172208
"2020-02-19";175109;183938
"2020-02-20";176087;183430
"2020-02-21";176679;196756
"2020-02-22";177533;175274
"2020-02-23";178806;166252
"2020-02-24";178806;173788
"2020-02-25";178842;172456
"2020-02-26";177380;173708
"2020-02-27";177882;186942
"2020-02-28";177506;194125
"2020-02-29";176346;167154
"2020-03-01";176520;167470
"2020-03-02";176363;172689
"2020-03-03";176997;176892
"2020-03-04";178235;182378
"2020-03-05";178483;188674
"2020-03-06";177692;188587
"2020-03-07";177885;168507
"2020-03-08";178416;171187
"2020-03-09";178796;175350
"2020-03-10";177982;171193
"2020-03-11";177834;181341
"2020-03-12";176583;179920
"2020-03-13";174208;171961
"2020-03-14";172383;155729
"2020-03-15";169859;153521
"2020-03-16";167279;157293
"2020-03-17";164012;148325
"2020-03-18";158725;144330
"2020-03-19";151899;132135
"2020-03-20";145781;129138
"2020-03-21";140043;115564
"2020-03-22";132709;102181
"2020-03-23";123842;95227
"2020-03-24";116730;98539
"2020-03-25";109608;94477
"2020-03-26";104585;96970
"2020-03-27";98890;89276
"2020-03-28";92311;69508
"2020-03-29";86931;64522
"2020-03-30";83941;74295
"2020-03-31";80930;77465
"2020-04-01";78923;80431
"2020-04-02";75931;76022
"2020-04-03";73575;72785
"2020-04-04";72441;61570
"2020-04-05";71376;57065
"2020-04-06";70394;67420
"2020-04-07";69778;73157
"2020-04-08";68944;74591
"2020-04-09";67887;68623
"2020-04-10";67230;68188
"2020-04-11";67376;62592
"2020-04-12";65837;46294
"2020-04-13";63951;54214
"2020-04-14";63758;71808
"2020-04-15";63810;74953
"2020-04-16";64752;75216
"2020-04-17";65308;72081
"2020-04-18";64675;58163
"2020-04-19";66347;57994
"2020-04-20";68235;67434
"2020-04-21";68744;75371
"2020-04-22";69240;78427
"2020-04-23";69357;76032
"2020-04-24";69750;74831
"2020-04-25";71280;68877
"2020-04-26";72076;63561
"2020-04-27";73113;74696
"2020-04-28";73876;80714
"2020-04-29";73552;76156
"2020-04-30";73906;78510
"2020-05-01";74862;81522
"2020-05-02";75200;71244
"2020-05-03";75920;68602
"2020-05-04";76318;77484
"2020-05-05";76833;84315
"2020-05-06";78821;90071
"2020-05-07";81337;96122
"2020-05-08";82373;88776
"2020-05-09";83806;81275
"2020-05-10";83198;64344
"2020-05-11";83478;79443
"2020-05-12";84269;89858
"2020-05-13";84931;94702
"2020-05-14";84680;94368
"2020-05-15";85547;94840
"2020-05-16";86969;91233
"2020-05-17";90263;87398
"2020-05-18";91670;89296
"2020-05-19";92919;98601
"2020-05-20";95155;110349
"2020-05-21";98968;121065
"2020-05-22";100823;107821
"2020-05-23";99803;84093
"2020-05-24";98810;80451
"2020-05-25";98130;84532
"2020-05-26";98311;99868
"2020-05-27";98527;111860
"2020-05-28";96544;107189
"2020-05-29";97175;112235
